Region,Gender,Year,Lowerbound,Upperbound,Mean_Estimate,Country,age_group,CI_WIDTH,Obesity_level,CI_Width,Condition
Africa,Male,2018,4.20677,7.39336,5.68221,LSO,Adult,3.1865900000000007,Low,3.1865900000000007,Obesity
Western Pacific,Female,2014,16.63308,26.56991,21.44267,PNG,Adult,9.93683,Low,9.93683,Obesity
Western Pacific,Female,2016,41.06052,53.79572,47.32465,PYF,Adult,12.735200000000006,High,12.735200000000006,Obesity
Western Pacific,Female,2017,26.63722,30.88968,28.69985,AUS,Adult,4.252459999999999,Moderate,4.252459999999999,Obesity
Western Pacific,Male,2021,57.34459,73.01723,65.50843,TKL,Adult,15.672640000000001,High,15.672640000000001,Obesity
Americas,Female,2021,28.55519,31.96773,30.27124,PER,Adult,3.41254,High,3.41254,Obesity
Africa,Female,2013,3.2966,4.35544,3.80937,RWA,Adult,1.0588399999999996,Low,1.0588399999999996,Obesity
Western Pacific,Female,2015,19.90764,23.23993,21.52674,MYS,Adult,3.3322900000000004,Low,3.3322900000000004,Obesity
Europe,Female,2021,28.69613,37.45104,33.10332,Armenia,Adult,8.754909999999999,High,8.754909999999999,Obesity
Americas,Female,2012,27.00597,32.22624,29.59364,SLV,Adult,5.220269999999996,Moderate,5.220269999999996,Obesity
Europe,Both,2013,18.27619,21.51639,19.86841,BEL,Adult,3.2402000000000015,Low,3.2402000000000015,Obesity
Europe,Female,2015,11.03426,25.56595,17.77162,MNE,Adult,14.531690000000001,Low,14.531690000000001,Obesity
Western Pacific,Male,2017,5.11465,6.01169,5.5504,KOR,Adult,0.8970399999999996,Low,0.8970399999999996,Obesity
Americas,Male,2012,11.12689,18.40966,14.60721,BOL,Adult,7.282769999999999,Low,7.282769999999999,Obesity
Americas,Female,2014,27.58344,34.41284,30.85725,URY,Adult,6.829400000000003,High,6.829400000000003,Obesity
Americas,Male,2021,25.01672,32.1587,28.47429,CAN,Adult,7.141980000000004,Moderate,7.141980000000004,Obesity
Eastern Mediterranean,Female,2021,51.02657,59.09244,55.11286,EGY,Adult,8.065870000000004,High,8.065870000000004,Obesity
Africa,Female,2013,18.38509,26.90009,22.46305,GNQ,Adult,8.514999999999997,Low,8.514999999999997,Obesity
Europe,Both,2012,27.68557,29.64943,28.65079,TUR,Adult,1.9638600000000004,Moderate,1.9638600000000004,Obesity
South-East Asia,Male,2020,6.15825,10.04747,7.99069,BTN,Adult,3.889220000000001,Low,3.889220000000001,Obesity
Americas,Both,2020,31.37483,37.06865,34.1384,PAN,Adult,5.693819999999999,High,5.693819999999999,Obesity
Africa,Female,2014,5.54122,7.12563,6.3113,MWI,Adult,1.58441,Low,1.58441,Obesity
South-East Asia,Female,2014,3.74545,17.53372,9.26575,PRK,Adult,13.788269999999999,Low,13.788269999999999,Obesity
South-East Asia,Female,2020,14.21982,19.01607,16.5537,THA,Adult,4.796249999999999,Low,4.796249999999999,Obesity
Western Pacific,Male,2021,24.20506,35.65219,29.81097,BRN,Adult,11.447129999999998,Moderate,11.447129999999998,Obesity
Eastern Mediterranean,Male,2018,35.63452,44.47476,40.0193,KWT,Adult,8.840240000000001,High,8.840240000000001,Obesity
Eastern Mediterranean,Male,2012,30.15701,37.86482,33.9498,QAT,Adult,7.707810000000002,High,7.707810000000002,Obesity
,Female,2017,12.17208,12.88631,12.5203,WB_LMI,Adult,0.7142300000000006,Low,0.7142300000000006,Obesity
Western Pacific,Both,2015,38.94465,45.48665,42.21113,FSM,Adult,6.5419999999999945,High,6.5419999999999945,Obesity
Western Pacific,Male,2019,54.23861,69.62725,62.32963,NIU,Adult,15.388640000000002,High,15.388640000000002,Obesity
Western Pacific,Both,2016,62.76187,67.58383,65.21307,TON,Adult,4.821960000000004,High,4.821960000000004,Obesity
Europe,Both,2015,21.75273,25.8433,23.74552,PRT,Adult,4.09057,Low,4.09057,Obesity
Western Pacific,Both,2020,6.67221,8.10945,7.36105,CHN,Adult,1.437240000000001,Low,1.437240000000001,Obesity
Eastern Mediterranean,Both,2019,39.92897,47.02497,43.50241,KWT,Adult,7.096000000000004,High,7.096000000000004,Obesity
Europe,Male,2015,25.85764,31.63406,28.68221,HRV,Adult,5.776420000000002,Moderate,5.776420000000002,Obesity
Americas,Male,2013,15.24371,17.61769,16.42217,BRA,Adult,2.3739799999999995,Low,2.3739799999999995,Obesity
Europe,Both,2021,24.02173,35.05908,29.41296,LVA,Adult,11.03735,Moderate,11.03735,Obesity
Western Pacific,Male,2017,54.00854,67.52887,61.0809,NIU,Adult,13.520329999999994,High,13.520329999999994,Obesity
Eastern Mediterranean,Both,2014,12.46563,14.41803,13.42303,PAK,Adult,1.952399999999999,Low,1.952399999999999,Obesity
Americas,Male,2014,17.93482,26.54983,22.18678,BRB,Adult,8.615010000000002,Low,8.615010000000002,Obesity
Europe,Male,2013,17.78289,30.18116,23.78777,CYP,Adult,12.39827,Low,12.39827,Obesity
South-East Asia,Male,2014,2.01725,11.81979,5.58816,PRK,Adult,9.802539999999999,Low,9.802539999999999,Obesity
Europe,Male,2018,16.93588,24.22461,20.4581,UKR,Adult,7.2887299999999975,Low,7.2887299999999975,Obesity
Western Pacific,Both,2016,68.58553,78.22971,73.61121,ASM,Adult,9.644179999999992,High,9.644179999999992,Obesity
Americas,Both,2015,18.54231,21.61422,20.06462,GTM,Adult,3.071909999999999,Low,3.071909999999999,Obesity
Africa,Both,2017,11.28849,18.66731,14.62189,GNQ,Adult,7.378820000000001,Low,7.378820000000001,Obesity
Africa,Female,2015,19.28378,28.7601,23.79475,GNQ,Adult,9.476320000000001,Low,9.476320000000001,Obesity
Africa,Female,2014,3.576,4.69591,4.12319,RWA,Adult,1.1199099999999995,Low,1.1199099999999995,Obesity
Western Pacific,Both,2016,62.4032,70.27621,66.46847,TKL,Adult,7.873010000000008,High,7.873010000000008,Obesity
Africa,Female,2015,9.46872,12.62452,11.00981,CIV,Adult,3.155800000000001,Low,3.155800000000001,Obesity
Europe,Female,2014,32.38624,39.05173,35.69052,GEO,Adult,6.665489999999998,High,6.665489999999998,Obesity
Africa,Both,2016,26.32959,28.74377,27.53123,ZAF,Adult,2.4141800000000018,Moderate,2.4141800000000018,Obesity
Africa,Both,2012,5.23006,10.60108,7.6495,AGO,Adult,5.37102,Low,5.37102,Obesity
Europe,Both,2020,16.84084,23.3434,19.9947,LUX,Adult,6.502559999999999,Low,6.502559999999999,Obesity
Europe,Female,2016,23.34475,27.60311,25.4364,UZB,Adult,4.25836,Moderate,4.25836,Obesity
Eastern Mediterranean,Female,2013,24.09325,26.43488,25.26851,"Iran, Islamic Republic of",Adult,2.3416299999999985,Moderate,2.3416299999999985,Obesity
Americas,Male,2017,14.43996,20.09178,17.16716,LCA,Adult,5.651820000000001,Low,5.651820000000001,Obesity
Europe,Female,2012,10.7059,13.11791,11.84791,DNK,Adult,2.4120100000000004,Low,2.4120100000000004,Obesity
Africa,Male,2017,4.77211,7.21105,5.92638,NGA,Adult,2.4389400000000006,Low,2.4389400000000006,Obesity
Europe,Both,2015,17.12753,21.46692,19.28077,KGZ,Adult,4.339389999999998,Low,4.339389999999998,Obesity
Americas,Both,2013,19.02702,20.74018,19.88592,BRA,Adult,1.7131599999999985,Low,1.7131599999999985,Obesity
,Female,2022,9.59137,11.65303,10.58516,SEAR,Adult,2.06166,Low,2.06166,Obesity
Africa,Male,2013,4.08926,6.87938,5.36909,BWA,Adult,2.79012,Low,2.79012,Obesity
Europe,Male,2013,18.65699,23.10544,20.80777,SRB,Adult,4.448450000000001,Low,4.448450000000001,Obesity
Africa,Both,2014,4.92574,6.59314,5.72005,MOZ,Adult,1.6673999999999998,Low,1.6673999999999998,Obesity
Europe,Female,2015,26.512,32.242,29.38761,Armenia,Adult,5.729999999999997,Moderate,5.729999999999997,Obesity
Americas,Female,2014,9.654,12.58827,11.05382,HTI,Adult,2.9342699999999997,Low,2.9342699999999997,Obesity
Americas,Male,2012,11.79964,15.40757,13.52562,CUB,Adult,3.6079299999999996,Low,3.6079299999999996,Obesity
Europe,Both,2019,21.09114,25.15051,23.05409,BGR,Adult,4.059370000000001,Low,4.059370000000001,Obesity
Eastern Mediterranean,Both,2017,21.24122,28.77473,24.89414,TUN,Adult,7.533510000000003,Low,7.533510000000003,Obesity
Eastern Mediterranean,Female,2020,24.92752,33.26745,29.00177,MAR,Adult,8.339929999999995,Moderate,8.339929999999995,Obesity
Europe,Female,2019,25.87516,31.22111,28.4687,UZB,Adult,5.345949999999998,Moderate,5.345949999999998,Obesity
Americas,Both,2013,24.3925,29.88473,27.10738,VCT,Adult,5.492230000000003,Moderate,5.492230000000003,Obesity
Americas,Both,2014,19.55654,28.35874,23.86279,SUR,Adult,8.802200000000003,Low,8.802200000000003,Obesity
Western Pacific,Male,2021,28.31676,36.04383,32.02877,AUS,Adult,7.727070000000001,High,7.727070000000001,Obesity
Africa,Both,2012,12.71931,15.0829,13.87472,LSO,Adult,2.3635900000000003,Low,2.3635900000000003,Obesity
Americas,Female,2021,27.87228,36.39966,32.10975,BOL,Adult,8.527379999999997,High,8.527379999999997,Obesity
Western Pacific,Female,2013,60.62856,71.12703,65.98322,NIU,Adult,10.498470000000005,High,10.498470000000005,Obesity
Africa,Female,2014,4.23651,5.92063,5.04055,NER,Adult,1.68412,Low,1.68412,Obesity
Africa,Female,2021,20.50325,30.10591,25.26605,MUS,Adult,9.60266,Moderate,9.60266,Obesity
Americas,Male,2012,18.04405,22.05159,20.03361,CRI,Adult,4.007540000000002,Low,4.007540000000002,Obesity
Americas,Both,2017,41.14296,46.89134,44.00649,Bahamas,Adult,5.748379999999997,High,5.748379999999997,Obesity
Europe,Both,2021,21.00629,27.17606,24.09893,DEU,Adult,6.16977,Low,6.16977,Obesity
Africa,Both,2016,1.91413,3.53989,2.59513,MDG,Adult,1.62576,Low,1.62576,Obesity
